domain	status	step	evidence	note
session	TODO	G1-SESSION-008 Provider logout clears provider state and Keycloak realm session as designed.	e2e/42-gate1-role-landing.spec.ts	priority=P0
session	TODO	G1-SESSION-009 Platform admin logout does not leave admin token/profile.	e2e/42-gate1-role-landing.spec.ts	priority=P0
session	TODO	G1-SESSION-010 Business -> provider account switch in same browser shows correct organization/sidebar.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-011 Provider -> admin account switch does not show provider menu inside admin panel.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-012 Login in private/incognito works without service-worker cache residue.	e2e/42-gate1-role-landing.spec.ts	priority=P0
session	TODO	G1-SESSION-013 Service worker update does not cache auth/admin routes.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-014 Refresh token expiry leads to controlled re-login, not blank screen.	e2e/42-gate1-role-landing.spec.ts	priority=P0
session	TODO	G1-SESSION-015 Malformed/expired token API calls return 401 and frontend prompts re-auth.	e2e/42-gate1-role-landing.spec.ts	priority=P0
business	TODO	G1-BUSINESS-001 Empty profile displays setup checklist.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-002 Valid company profile save persists after refresh.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-003 Invalid tax/company identifier format is rejected if policy exists.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-004 Logo upload valid image succeeds.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-005 Unsupported file type, huge file, and corrupted file show clear error.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-006 Missing company logo returns graceful empty state, not 500/noisy error.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-007 Business can create first material with eligible supplier.	e2e/43-gate1-business-first-value.spec.ts	priority=P0
business	TODO	G1-BUSINESS-008 Supplier dropdown lists only eligible suppliers for selected material category.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-009 No eligible supplier state explains next step instead of showing empty unexplained dropdown.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-010 Ineligible/expired supplier is rejected backend-side even if user tampers request.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-011 Material create/update non-2xx keeps form open and shows readable error.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-012 Process create persists, appears in list, detail, and after refresh.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-013 Process update with invalid fields shows field-level error.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-014 Batch create with valid materials/process succeeds.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-015 Batch create without required materials/process is blocked.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-016 Batch with duplicate code/identifier follows conflict policy and explains it.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-017 Sealed batch cannot be mutated; UI explains immutable/sealed state.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-018 Public trace is unavailable before publish/seal readiness.	e2e/43-gate1-business-first-value.spec.ts	priority=P0
business	TODO	G1-BUSINESS-019 Published/sealed trace shows snapshot state, not later live mutation.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-020 Bulk/rapid double-click submit does not create duplicates.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
business	TODO	G1-BUSINESS-021 Network offline during save shows retry and does not claim success.	e2e/43-gate1-business-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-001 Provider sees only own submissions/certificates/authority records.	e2e/44-gate1-provider-first-value.spec.ts	priority=P0
provider	TODO	G1-PROVIDER-002 Provider cannot search or open another provider's record by URL/id.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-003 Provider can perform allowed status transition.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-004 Invalid status transition is blocked with clear explanation.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-005 Provider certificate action output matches backend state after refresh.	e2e/44-gate1-provider-first-value.spec.ts	priority=P0
provider	TODO	G1-PROVIDER-006 Provider cannot create/mark supplier eligibility without source authority evidence.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-007 Provider cannot take over another provider's supplier eligibility.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-008 Expired certificate/authority cannot be used for active eligibility.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-009 Revoked/suspended certificate disappears or is marked unavailable in business selection.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-010 Provider upload/view certificate PDF works with valid file.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-011 Invalid PDF/file type too large is rejected.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
provider	TODO	G1-PROVIDER-012 Provider public certificate verification page shows correct public fields only.	e2e/44-gate1-provider-first-value.spec.ts	priority=P0
provider	TODO	G1-PROVIDER-013 Provider action race/double-submit remains idempotent or conflict-safe.	e2e/44-gate1-provider-first-value.spec.ts	priority=P1
auditor	TODO	G1-AUDITOR-001 Auditor login lands on assigned workspace.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-002 Auditor sees only assigned tenant/submission/batch.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-003 Auditor direct URL to unassigned item returns forbidden/not-found without private hints.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-004 Auditor allowed comment/review action persists if in scope.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-005 Auditor cannot approve/finalize provider/admin-only actions.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-006 Auditor account removed/disabled loses access immediately after refresh.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
auditor	TODO	G1-AUDITOR-007 Auditor with no assignments sees helpful empty state.	e2e/45-gate1-auditor-boundary.spec.ts	priority=P0
admin	TODO	G1-ADMIN-001 Platform admin can locate customer user by email without exposing secrets.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-002 Platform admin can safely resend verification email.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-003 Platform admin can reset password via Keycloak-backed endpoint.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-004 Admin reset revokes sessions; target old session loses access.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-005 Admin self-reset purges own session and requires re-login.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-006 Admin cannot edit user password through profile update endpoint silently.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-007 Admin disabled account state is reflected in login behavior.	e2e/20-admin-unified-auth.spec.ts	priority=P1
admin	TODO	G1-ADMIN-008 Admin-created placeholder/test user cleanup removes Keycloak and app rows safely where intended.	e2e/20-admin-unified-auth.spec.ts	priority=P1
output	TODO	G1-OUTPUT-001 Public certificate verify page shows exact certificate number, status, company, issue/expiry dates.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
output	TODO	G1-OUTPUT-002 Expired/revoked certificate shows the correct non-active status.	e2e/47-gate1-output-correctness.spec.ts	priority=P1
output	TODO	G1-OUTPUT-003 Draft/pending certificate is not public.	e2e/47-gate1-output-correctness.spec.ts	priority=P1
output	TODO	G1-OUTPUT-004 Certificate PDF renders with correct status and no stale cached previous state.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
output	TODO	G1-OUTPUT-005 Public trace valid opaque ID returns 200 and integrity markers.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
output	TODO	G1-OUTPUT-006 Public trace invalid/random/injection ID returns safe 404/not-found.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
output	TODO	G1-OUTPUT-007 Public trace does not leak tenant IDs, provider internal IDs, audit actor IDs, source certificate IDs, private notes.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
output	TODO	G1-OUTPUT-008 Dashboard status badges match backend canonical state.	e2e/47-gate1-output-correctness.spec.ts	priority=P1
output	TODO	G1-OUTPUT-009 After provider revokes certificate, business dashboard/public output reflect new state according to policy.	e2e/47-gate1-output-correctness.spec.ts	priority=P0
error	TODO	G1-ERROR-001 Missing required field.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-002 Invalid format.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-003 Too long input.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-004 Leading/trailing whitespace.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-005 Unicode/Vietnamese names.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-006 HTML/script injection text renders escaped.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-007 Duplicate/conflict state.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-008 Unauthorized anonymous request.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-009 Forbidden authenticated role.	e2e/46-gate1-error-ux.spec.ts	priority=P0
error	TODO	G1-ERROR-010 Expired session.	e2e/46-gate1-error-ux.spec.ts	priority=P0
error	TODO	G1-ERROR-011 Backend 422 `detail` array.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-012 Backend 409 conflict.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-013 Backend 429 rate limit.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-014 Backend 500.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-015 Network timeout/offline.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-016 Slow response with loading state.	e2e/46-gate1-error-ux.spec.ts	priority=P1
error	TODO	G1-ERROR-017 Double submit while loading.	e2e/46-gate1-error-ux.spec.ts	priority=P1
ux	TODO	G1-UX-001 Chromium desktop full matrix passes.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-002 WebKit/Safari smoke for login/register/verify/reset/core dashboard if customer uses Safari.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-003 Mobile narrow viewport: login/register/reset usable, no horizontal overflow, CTA visible.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-004 Tablet viewport: dashboard/sidebar usable.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-005 Keyboard-only navigation through login/register/reset forms works.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-006 Focus moves to first invalid field or error summary after failed submit.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-007 Screen-reader labels exist for critical inputs/buttons.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-008 Color contrast serious warnings triaged for onboarding-critical pages.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-009 Vietnamese and English copy both understandable if app supports both.	e2e/accessibility.spec.ts	priority=P1
ux	TODO	G1-UX-010 Date/time/number formatting is consistent for certificate validity and statuses.	e2e/accessibility.spec.ts	priority=P1
integrity	TODO	G1-INTEGRITY-001 User presses submit twice quickly: one record or safe duplicate prevention.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P1
integrity	TODO	G1-INTEGRITY-002 User opens same edit form in two tabs; stale save conflict policy is clear.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P1
integrity	TODO	G1-INTEGRITY-003 Backend rejects tampered tenant/provider IDs even if UI hides them.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P0
integrity	TODO	G1-INTEGRITY-004 Partial provisioning failure compensates or recovers idempotently.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P0
integrity	TODO	G1-INTEGRITY-005 Audit log records critical onboarding/account/security actions.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P1
integrity	TODO	G1-INTEGRITY-006 Append-only audit immutability is respected; tests must not bypass trigger.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P1
integrity	TODO	G1-INTEGRITY-007 Created QA records can be identified and cleaned up safely.	backend/integration + e2e/46-gate1-error-ux.spec.ts	priority=P1
security	TODO	G1-SECURITY-001 Anonymous cannot access protected APIs/pages.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-002 Business cannot access provider/admin/auditor routes.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-003 Provider cannot access platform-admin routes.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-004 Auditor cannot access business owner/provider-admin mutation routes.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-005 Path traversal/file upload abuse rejected.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P1
security	TODO	G1-SECURITY-006 Uploaded file download requires correct tenant/authority.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P1
security	TODO	G1-SECURITY-007 XSS payload in company/material/process names renders escaped in UI and public outputs.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-008 CSRF/state mismatch in OIDC callback fails closed.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-009 Open redirect attempt in `next`/return URL is rejected.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
security	TODO	G1-SECURITY-010 Rate limit on login/reset/verification resend is effective and user-friendly.	backend boundary tests + e2e/46-gate1-error-ux.spec.ts	priority=P0
observe	TODO	G1-OBSERVE-001 Failed verification send is logged with non-secret correlation ID.	scripts/qa/run-gate1-onboarding.sh logs	priority=P1
observe	TODO	G1-OBSERVE-002 Password reset failure is logged without token/password leakage.	scripts/qa/run-gate1-onboarding.sh logs	priority=P1
observe	TODO	G1-OBSERVE-003 Backend 5xx during onboarding increments/appears in logs/metrics.	scripts/qa/run-gate1-onboarding.sh logs	priority=P1
observe	TODO	G1-OBSERVE-004 Customer support can ask user for a safe request/correlation ID.	scripts/qa/run-gate1-onboarding.sh logs	priority=P1
observe	TODO	G1-OBSERVE-005 Fatal frontend console/page errors are captured during E2E; Gate 1 fails on uncaught errors in onboarding-critical pages.	scripts/qa/run-gate1-onboarding.sh logs	priority=P1
runtime	PASS	G1-RUNTIME health public login	docs/qa/20260917-gate1-onboarding/evidence/terminal/001-runtime-g1-runtime-health-public-login.txt
email	BLOCKED	G1-EMAIL verify-email live-send	docs/qa/20260917-gate1-onboarding/evidence/terminal/002-email-g1-email-verify-email-live-send-blocked.txt	scripts/qa/keycloak-email-live-send-check.sh missing or not executable
session	PASS	G1-SESSION login oidc account isolation	docs/qa/20260917-gate1-onboarding/evidence/terminal/003-session-g1-session-login-oidc-account-isolation.txt
business	FAIL	G1-BUSINESS first value and supply chain contracts	docs/qa/20260917-gate1-onboarding/evidence/terminal/004-business-g1-business-first-value-and-supply-chain-contracts.txt	exit_code=1
provider	FAIL	G1-PROVIDER certificate lifecycle provider flow	docs/qa/20260917-gate1-onboarding/evidence/terminal/005-provider-g1-provider-certificate-lifecycle-provider-flow.txt	exit_code=1
auditor	FAIL	G1-AUDITOR live role boundary smoke	docs/qa/20260917-gate1-onboarding/evidence/terminal/006-auditor-g1-auditor-live-role-boundary-smoke.txt	exit_code=1
error	PASS	G1-ERROR invalid input and error UX	docs/qa/20260917-gate1-onboarding/evidence/terminal/007-error-g1-error-invalid-input-and-error-ux.txt
output	PASS	G1-OUTPUT public artifact correctness	docs/qa/20260917-gate1-onboarding/evidence/terminal/008-output-g1-output-public-artifact-correctness.txt
frontend	FAIL	G1-FRONTEND lint build contracts	docs/qa/20260917-gate1-onboarding/evidence/terminal/009-frontend-g1-frontend-lint-build-contracts.txt	exit_code=1
