method	path	handler	source_file	auth_signal	tenant_class	risk_class	coverage_test	coverage_status	owner	defer_reason
POST	/api/audits	create_visit	backend/auth/audit_router.py:554	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/businesses	list_businesses	backend/auth/audit_router.py:84	require_provider	provider_business_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/businesses/{business_id}/dossier	business_dossier	backend/auth/audit_router.py:142	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/businesses/{business_id}/score	business_score	backend/auth/audit_router.py:265	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/history/{business_tenant}	visit_history	backend/auth/audit_router.py:1408	require_provider	provider_business_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/ncr/pending	pending_ncr	backend/auth/audit_router.py:1569	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/ncr/{ncr_id}/evidence	upload_ncr_evidence	backend/auth/audit_router.py:1602	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/ncr/{ncr_id}/verify	verify_ncr	backend/auth/audit_router.py:1658	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/stats	audit_stats	backend/auth/audit_router.py:393	public-explicit-or-legacy	public_safe_or_legacy	P2_HEALTH_OR_STATIC	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/templates	list_templates	backend/auth/audit_router.py:436	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/templates	create_template	backend/auth/audit_router.py:462	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
DELETE	/api/audits/templates/{tid}	delete_template	backend/auth/audit_router.py:507	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/templates/{tid}	update_template	backend/auth/audit_router.py:478	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
DELETE	/api/audits/{vid}	delete_visit	backend/auth/audit_router.py:705	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/{vid}	get_visit	backend/auth/audit_router.py:587	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}	update_visit	backend/auth/audit_router.py:671	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}/assign	assign_visit_auditor	backend/auth/audit_router.py:721	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/decision	cert_decision	backend/auth/audit_router.py:1438	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/follow-up	create_follow_up	backend/auth/audit_router.py:1694	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/generate-report	generate_report	backend/auth/audit_router.py:1054	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}/gps	save_gps	backend/auth/audit_router.py:1551	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/{vid}/items	list_items	backend/auth/audit_router.py:836	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/items	add_item	backend/auth/audit_router.py:859	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
DELETE	/api/audits/{vid}/items/{item_id}	delete_item	backend/auth/audit_router.py:883	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}/items/{item_id}	update_item	backend/auth/audit_router.py:892	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/items/{item_id}/photo	upload_item_photo	backend/auth/audit_router.py:918	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/{vid}/ncr	list_ncr	backend/auth/audit_router.py:952	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/ncr	create_ncr	backend/auth/audit_router.py:979	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}/ncr/{ncr_id}	update_ncr	backend/auth/audit_router.py:998	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/ncr/{ncr_id}/photo	upload_ncr_photo	backend/auth/audit_router.py:1020	require_provider	provider_business_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/populate-checklist	populate_checklist	backend/auth/audit_router.py:792	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/audits/{vid}/report-pdf	download_report	backend/auth/audit_router.py:1363	get_current_user	tenant_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/audits/{vid}/signature	upload_signature	backend/auth/audit_router.py:1523	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/audits/{vid}/status	update_visit_status	backend/auth/audit_router.py:764	require_provider	provider_business_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/dashboard/stats	dashboard_stats	backend/auth/document_router.py:823	public-explicit-or-legacy	public_safe_or_legacy	P2_HEALTH_OR_STATIC	low-risk/static smoke	covered		
GET	/api/documents	list_documents	backend/auth/document_router.py:175	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/revisions/{doc_type_id}	list_revisions	backend/auth/document_router.py:279	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/upload	upload_document	backend/auth/document_router.py:590	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
DELETE	/api/documents/{doc_id}	delete_document	backend/auth/document_router.py:771	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/{doc_id}	get_document	backend/auth/document_router.py:363	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/{doc_id}/approval-status	get_approval_status	backend/auth/document_router.py:1333	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/approve	approve_document	backend/auth/document_router.py:1093	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/evaluate	evaluate_existing_document	backend/auth/document_router.py:728	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/{doc_id}/file	get_document_file	backend/auth/document_router.py:544	get_current_user	tenant_scoped	P0_FILE_OBJECT	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/{doc_id}/preview	preview_document	backend/auth/document_router.py:427	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/promote	promote_document	backend/auth/document_router.py:333	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/reject	reject_document	backend/auth/document_router.py:1164	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/submit-for-approval	submit_for_approval	backend/auth/document_router.py:1051	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/documents/{doc_id}/supersede	supersede_document	backend/auth/document_router.py:1204	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/documents/{doc_id}/versions	get_versions	backend/auth/document_router.py:1271	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_generate_document_export_security.py; tests/test_certificate_pdf_integrity_smoke.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/feature-flags/me	my_feature_flags	backend/auth/feature_flags_router.py:63	get_current_user	tenant_scoped	P1_TENANT_LIST		deferred	qa-owner	representative coverage only; add route-family test for 8/10+
GET	/api/notifications	list_notifications	backend/auth/notification_router.py:67	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
GET	/api/notifications/push-public-key	get_vapid_public_key	backend/auth/notification_router.py:150	public-explicit-or-legacy	public_sealed_snapshot	P1_PUBLIC_SEALED	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
DELETE	/api/notifications/push-subscriptions	unsubscribe_push	backend/auth/notification_router.py:184	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
POST	/api/notifications/push-subscriptions	subscribe_push	backend/auth/notification_router.py:155	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
PUT	/api/notifications/read-all	mark_all_read	backend/auth/notification_router.py:127	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
GET	/api/notifications/unread-count	unread_count	backend/auth/notification_router.py:101	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
PUT	/api/notifications/{notification_id}/read	mark_read	backend/auth/notification_router.py:111	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; notification tenant-scope DB checks	covered		
GET	/api/submissions/cb-stats	cb_stats	backend/auth/submission_router.py:113	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/cert-timeline	cert_timeline	backend/auth/submission_router.py:437	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/certificates	list_certificates	backend/auth/certificate_router.py:239	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/certificates/public/{cert_number}	public_verify_cert	backend/auth/certificate_router.py:359	public-intended	public_sealed_snapshot	P1_PUBLIC_SEALED	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/certificates/registry	cert_registry	backend/auth/certificate_router.py:274	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/certificates/{cert_id}/pdf	download_certificate_pdf	backend/auth/certificate_router.py:532	get_current_user	tenant_scoped	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/submissions/certificates/{cert_id}/status	update_cert_status	backend/auth/certificate_router.py:457	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/issue-certificate/{business_tenant_id}	issue_certificate_for_company	backend/auth/certificate_router.py:73	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/my-submissions	my_submissions	backend/auth/submission_router.py:559	require_business	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/overdue	provider_overdue	backend/auth/submission_router.py:314	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/providers	list_providers	backend/auth/submission_router.py:344	no-auth-explicit-review	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/received	received_submissions	backend/auth/submission_router.py:600	get_current_user	tenant_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/received/{submission_id}/approve-final	approve_final	backend/auth/submission_router.py:1249	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/submissions/received/{submission_id}/assign	assign_auditor	backend/auth/submission_router.py:1032	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/submissions/received/{submission_id}/deadline	set_deadline	backend/auth/submission_router.py:1571	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/received/{submission_id}/doc-revisions/{doc_type_id}	submission_doc_revisions	backend/auth/submission_router.py:1478	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/received/{submission_id}/documents	submission_documents	backend/auth/submission_router.py:652	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/received/{submission_id}/evaluation	get_evaluation	backend/auth/submission_router.py:1145	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/received/{submission_id}/evaluation	save_evaluation	backend/auth/submission_router.py:1172	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/received/{submission_id}/finalize	finalize_submission	backend/auth/submission_router.py:1530	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/received/{submission_id}/issue-certificate	issue_certificate_legacy	backend/auth/certificate_router.py:57	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/submissions/received/{submission_id}/replace-document	replace_submission_document	backend/auth/submission_router.py:1383	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/received/{submission_id}/request-revision	provider_request_revision	backend/auth/submission_router.py:795	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
PUT	/api/submissions/received/{submission_id}/status	update_submission_status	backend/auth/submission_router.py:724	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/request-renewal/{cert_id}	request_renewal	backend/auth/submission_router.py:483	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/stats	provider_stats	backend/auth/submission_router.py:242	public-explicit-or-legacy	public_safe_or_legacy	P2_HEALTH_OR_STATIC	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/submit	submit_documents	backend/auth/submission_router.py:356	require_business	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
POST	/api/submissions/{submission_id}/resubmit	business_resubmit	backend/auth/submission_router.py:899	require_business	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/submissions/{submission_id}/revisions	get_revision_history	backend/auth/submission_router.py:986	get_current_user	tenant_scoped	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
GET	/api/supply-chain/batches	list_batches	backend/supply_chain/batch_router.py:141	require_business	tenant_scoped_supply_chain	P1_TENANT_LIST	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
POST	/api/supply-chain/batches	create_batch	backend/supply_chain/batch_router.py:210	require_business	tenant_scoped_supply_chain	P0_RESOURCE_IDOR	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
GET	/api/supply-chain/batches/members	list_tenant_members	backend/supply_chain/batch_router.py:332	require_business	tenant_scoped_supply_chain	P1_TENANT_LIST	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
GET	/api/supply-chain/batches/stats	batch_stats	backend/supply_chain/batch_router.py:316	public-explicit-or-legacy	public_safe_or_legacy	P2_HEALTH_OR_STATIC	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
GET	/api/supply-chain/batches/trace/{trace_id}	public_trace	backend/supply_chain/batch_router.py:354	public-intended	public_sealed_snapshot	P1_PUBLIC_SEALED	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
DELETE	/api/supply-chain/batches/{bid}	delete_batch	backend/supply_chain/batch_router.py:623	require_business	tenant_scoped_supply_chain	P0_RESOURCE_IDOR	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
GET	/api/supply-chain/batches/{bid}	get_batch	backend/supply_chain/batch_router.py:517	require_business	tenant_scoped_supply_chain	P0_RESOURCE_IDOR	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
PUT	/api/supply-chain/batches/{bid}	update_batch	backend/supply_chain/batch_router.py:578	require_business	tenant_scoped_supply_chain	P0_RESOURCE_IDOR	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
POST	/api/supply-chain/batches/{bid}/approve	approve_batch	backend/supply_chain/batch_router.py:710	require_business	tenant_scoped_supply_chain	P0_RESOURCE_IDOR	tests/test_supply_chain_batches.py; tests/test_supply_chain_supplier_eligibility_routes.py; tests/test_unauth_route_boundaries.py	covered		
