domain	status	step	evidence	note
public-cert-fixture	WARN	P1-G8 intended public certificate fixture HALAL-2026-DEMO absent	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7G8-backend-security-core-focused.txt	public route returned 404 for missing demo cert fixture; protected-route boundary still passed 30/30
core-business	PASS	P1-G7 core business candidate discovery	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7-core-business-candidate-tests.txt	candidate tests/scripts recorded
core-business	PASS	P1-G7 supply-chain backend focused suite	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7-supply-chain-focused-backend.txt	supply-chain supplier/material/process/batch/sealing/eligibility tests passed
core-business	PASS	P1-G7 frontend supply-chain/public-trace focused tests	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7-supply-chain-frontend-focused.txt	frontend focused tests passed
frontend	PASS	P1-G9 frontend lint and build	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-frontend-lint-build.txt	lint/build passed
frontend-browser	FAIL	P1-G9 full Playwright Chromium matrix	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-full-playwright-chromium.txt	exit=1
perf	FAIL	P2-G10 light public perf smoke	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P2-G10-public-perf-smoke.txt	exit=1
docs	WARN	P2-G11 docs/domain consistency smoke	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P2-G11-docs-consistency.txt	legacy silvergem references remain; review whether intentional historical notes/tests or stale config
modularization	PASS	P0-G6 module registry/guard/sidebar focused gates verified from log	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G6-modularization-focused-gates.txt	18 backend + 6 frontend focused tests passed; previous FAIL row was status-parser bug
preflight	WARN	P0-G0 direct alembic current failed without project env	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G0-preflight.txt	direct command lacks configured SQLAlchemy URL; corrected migration verification used project wrapper log
perf	WARN	P2-G10 /health public page returns 404 while /api/health passes	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P2-G10-public-perf-smoke.txt	classify as route exposure/docs mismatch, not runtime outage; public pages and /api/health are fast
release-pipeline	SKIP	G12 final release-pipeline reproducibility gate	docs/qa/20260917-post-phase55-confidence-sweep/status.tsv	skipped by policy because unresolved FAIL/WARN gates remain; running release pipeline would be misleading
auth-rbac	PASS	P0-G5 live role boundary smoke after remediation	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-role-boundaries-after-remediation.txt	9 passed / 3 skipped; active issuer default corrected to auth.aminra.org
public-cert-fixture	PASS	P1-G8 HALAL-2026-DEMO fixture restored locally	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G8-demo-fixture-after-remediation.txt	public cert API/page 200; destructive reset avoided due append-only audit trigger
auth-browser	PASS	P0-G4/P1-G9 OIDC redirect expectation parameterized	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-focused-remediation-gates.txt	callback derived from PW_BASE_URL; focused login/OIDC test passed
visual	PASS	P1-G9 login visual baselines reviewed and regenerated	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-focused-remediation-gates.txt	business/provider login baselines updated for expected exit link layout
frontend-browser	PASS	P1-G9 full Playwright Chromium matrix after remediation	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-full-playwright-chromium-after-remediation.txt	203 passed / 125 skipped / 0 failed; supersedes earlier 18-failure row
frontend	PASS	P1-G9 frontend lint/build after remediation	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G9-focused-remediation-gates.txt	lint PASS; Next production build PASS
release-pipeline	SKIP	G12 final release/deploy reproducibility gate remains approval-gated	docs/qa/20260917-post-phase55-confidence-sweep/report.md	not run automatically because deploy/recreate side effects require explicit authorization
